name,image,description,price,freeShipping,sold,code,category,condition,affiliateLink
Red Dead Redemption 2,71XrxGqPosL._AC_SL1000_.jpg,Red Dead Redemption 2,"R$ 115,02",false,false,,PS4,novo,https://www.amazon.com.br/dp/B07GT6FMDK?tag=infinitoaocubo-20
Ghost of Tsushima,71PqM1pqVeL._AC_SL1000_.jpg,Ghost of Tsushima,"R$ 84,90",false,false,,PS4,usado,
Marvel's Spider-Man Edição Jogo do Ano,815TEngwF7L._AC_SL1500_.jpg,Spider-Man - Edição Jogo do ano,"R$ 74,90",false,false,,PS4,usado,
God Of War Hits,81h0oxLQQPL._AC_SL1500_.jpg,God of War,"R$ 79,90",false,false,,PS4,usado,
The Last Of Us Remasterizado Hits,71ekFvMw6rL._AC_SL1500_.jpg,The Last of Us REMASTERIZADO,"R$ 69,90",false,false,,PS4,usado,
ASTRO BOT,81snwIyJDiL._AC_SL1500_.jpg,ASTRO BOT,"R$ 289,90",false,false,,PS5,novo,https://www.amazon.com.br/dp/B0D6HPB6SF?tag=infinitoaocubo-20
Horizon Zero Dawn Complete Edition Hits,81jV6wUKyIL._AC_SL1500_.jpg,Horizon Zero Dawn - Complete Edition,"R$ 59,90",false,false,,PS4,usado,
Shadow of the Colossus,81vPLT9c55L._AC_SL1500_.jpg,Shadow of the Colossus,"R$ 79,90",false,false,,PS4,usado,
Jedi Fallen Order,61PAS17sL3L._AC_SL1000_.jpg,Jedi Fallen Order [LACRADO],"R$ 99,90",false,false,,PS4,novo,
Ratchet & Clank Hits,81PrZ4ENoUL._AC_SL1500_.jpg,Ratchet & Clank,"R$ 59,90",false,false,,PS4,usado,
Star Wars Squadrons,81XG1GjFEdL._AC_SL1500_.jpg,STAR WARS Squadrons,"R$ 59,90",false,false,,PS4,usado,
Uncharted: The Lost Legacy Hits,71+15NSh+NL._AC_SL1500_.jpg,Uncharted: The Lost Legacy,"R$ 69,90",false,false,,PS4,usado,
Uncharted: The Thief's End Hits,81ERgdB4SSL._AC_SL1500_.jpg,Uncharted: The Thief's End,"R$ 69,90",false,false,,PS4,usado,
Uncharted: The Nathan Drake Collection Hits,813QeeXqZwL._AC_SL1500_.jpg,Uncharted: The Nathan Drake Collection,"R$ 59,90",false,false,,PS4,usado,
EA Sports FC 24,61+lZsNKGuL._AC_SL1020_.jpg,EA Sports FC 24,"R$ 159,79",false,false,,PS5,novo,https://www.amazon.com.br/dp/B0CH3NF7YH?tag=infinitoaocubo-20
God Of War III Remasterizado Hits,81TBqOBJatL._AC_SL1500_.jpg,God of War III REMASTERIZADO,"R$ 59,90",false,false,,PS4,usado,
Death Stranding,81ycgg1aviL._AC_SL1500_.jpg,Death Stranding,"R$ 54,90",false,true,,PS4,usado,
Crash Bandcoot N'Sane Trilogy,91u+hPR8NTL._AC_SL1500_.jpg,Crash Bandcoot N'Sane Trilogy,"R$ 49,90",false,true,,PS4,usado,
Marvel's Spider-Man: Miles Morales,61F8Iyxqf6L._AC_SL1000_.jpg,Spider-Man: Miles Morales,"R$ 69,90",false,true,,PS4,usado,
The Last of Us Parte II,61OZeW+pPYL._AC_SL1000_.jpg,The Last of Us Parte II,"R$ 74,90",false,true,,PS4,usado,
